Медведев; Дмитрий; 89156487548; денег нет, но вы держитесь 
Иванов; Петя; 222322323; живет в подвале
Траволта; Джон; **********; киллер
Коннор; Джон; 666-444-4566; спасет мир от машин
Уик; Джон; 666-888-999; Баба Яга 
Бэтмен; -; 999-789-456; Хранитель Готема 
Константин; Джон; 666-666-666; Курит как не в себя 
Горбачев; Михаил; 8745664555; президент СССР 
Горбатый; Илья; 7989455646; зачем он тут 
Семенов; Агафий; 7845558955; приювет всем 
Аракчеев; Иван; 5456456; раовыоыв 
Савельев; Иван; 5456456; раовыоыв 
